Scenario - Bisection Task
Logfile written - 09/11/2018 16:35:26

Subject	Trial	Event Type	Code	event_cond(str)	subject_id(num)	block_name(str)	block_number(num)	trial_number(num)	probe(num)	ITI(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
1	214	Sound	Stim;1;test;2;10;7;1810	Stim	1	test	2	10	7	1810	5674304	0	4			0		other	0
1	215	Picture	ITI	ITI							5724309	0	1	13609	1	0	next	other	0
1	216	Sound	Stim;1;test;2;11;7;1353	Stim	1	test	2	11	7	1353	5737849	0	4			0		other	0
1	217	Picture	ITI	ITI							5787843	0	1	17775	1	0	next	other	0
1	218	Sound	Stim;1;test;2;12;2;1770	Stim	1	test	2	12	2	1770	5805548	0	4			0		other	0
1	219	Picture	ITI	ITI							5837628	0	1	15067	1	0	next	other	0
1	220	Sound	Stim;1;test;2;13;1;1497	Stim	1	test	2	13	1	1497	5852604	0	4			0		other	0
1	221	Picture	ITI	ITI							5882691	0	1	16873	1	0	next	other	0
1	222	Sound	Stim;1;test;2;14;6;1683	Stim	1	test	2	14	6	1683	5899529	0	4			0		other	0
1	223	Picture	ITI	ITI							5944558	0	1	16040	1	0	next	other	0
1	224	Sound	Stim;1;test;2;15;1;1600	Stim	1	test	2	15	1	1600	5960563	0	4			0		other	0
1	225	Picture	ITI	ITI							5990593	0	1	16803	1	0	next	other	0
1	226	Sound	Stim;1;test;2;16;5;1671	Stim	1	test	2	16	5	1671	6007310	0	4			0		other	0
1	227	Picture	ITI	ITI							6048155	0	1	11179	1	0	next	other	0
1	228	Sound	Stim;1;test;2;17;3;1113	Stim	1	test	2	17	3	1113	6059291	0	4			0		other	0
1	229	Picture	ITI	ITI							6093774	0	1	12429	1	0	next	other	0
1	230	Sound	Stim;1;test;2;18;2;1234	Stim	1	test	2	18	2	1234	6106120	0	4			0		other	0
1	231	Picture	ITI	ITI							6138213	0	1	15692	1	0	next	other	0
1	232	Sound	Stim;1;test;2;19;2;1561	Stim	1	test	2	19	2	1561	6153828	0	4			0		other	0
1	233	Picture	ITI	ITI							6185915	0	1	12429	1	0	next	other	0
1	234	Sound	Stim;1;test;2;20;6;1234	Stim	1	test	2	20	6	1234	6198266	0	4			0		other	0
1	235	Picture	ITI	ITI							6243268	0	1	10901	1	0	next	other	0
1	236	Sound	Stim;1;test;2;21;5;1082	Stim	1	test	2	21	5	1082	6254095	0	4			0		other	0
1	237	Picture	ITI	ITI							6294928	0	1	13123	1	0	next	other	0
1	238	Sound	Stim;1;test;2;22;5;1308	Stim	1	test	2	22	5	1308	6308015	0	4			0		other	0
1	239	Picture	ITI	ITI							6348879	0	1	19442	1	0	next	other	0
1	240	Sound	Stim;1;test;2;23;4;1934	Stim	1	test	2	23	4	1934	6368226	0	4			0		other	0
1	241	Picture	ITI	ITI							6405608	0	1	14512	1	0	next	other	0
1	242	Sound	Stim;1;test;2;24;3;1441	Stim	1	test	2	24	3	1441	6420024	0	4			0		other	0
1	243	Picture	ITI	ITI							6454490	0	1	15415	1	0	next	other	0
1	244	Sound	Stim;1;test;2;25;4;1536	Stim	1	test	2	25	4	1536	6469856	0	4			0		other	0
1	245	Picture	ITI	ITI							6507192	0	1	17775	1	0	next	other	0
1	246	Sound	Stim;1;test;2;26;2;1772	Stim	1	test	2	26	2	1772	6524918	0	4			0		other	0
1	247	Picture	ITI	ITI							6556977	0	1	19025	1	0	next	other	0
